Specific-Bean-Origin-or-Bar-Name,Broad-Bean-Origin,Cocoa-Percent,Bean-Type
Agua Grande,Sao Tome,63%, 
Kpime,Togo,70%, 
Atsane,Togo,70%, 
Akata,Togo,70%, 
Quilla,Peru,70%, 
Carenero,Venezuela,70%,Criollo
Cuba,Cuba,70%, 
Sur del Lago,Venezuela,70%,Criollo
Puerto Cabello,Venezuela,70%,Criollo
Pablino,Peru,70%, 
Panama,Panama,70%, 
Madagascar,Madagascar,70%,Criollo
Brazil,Brazil,70%, 
Equateur,Ecuador,70%, 
Colombie,Colombia,70%, 
Birmanie,Burma,70%, 
Papua New Guinea,Papua New Guinea,70%, 
Chuao,Venezuela,70%,Trinitario
Piura,Peru,70%, 
Chanchamayo Province,Peru,70%, 
Chanchamayo Province,Peru,63%, 
Bolivia,Bolivia,70%, 
Peru,Peru,63%, 
"Chulucanas, El Platanal",Peru,70%, 
"Tumbes, Norandino",Peru,70%,Criollo
Vanua Levu,Fiji,60%,Trinitario
"Vanua Levu, Toto-A",Fiji,80%,Trinitario
Vanua Levu,Fiji,88%,Trinitario
"Vanua Levu, Ami-Ami-CA",Fiji,72%,Trinitario
"Los Rios, Quevedo, Arriba",Ecuador,55%,Forastero (Arriba)
"Los Rios, Quevedo, Arriba",Ecuador,70%,Forastero (Arriba)
Tabasco,Mexico,70%,Criollo
"Bali (west), Sukrama Family, Melaya area",Indonesia,75%,Trinitario
"Madagascar, Ambolikapiky P.",Madagascar,75%,Criollo
"Monte Alegre, D. Badero",Brazil,75%,Forastero
Trinite,Trinidad,65%,Trinitario
Vietnam,Vietnam,75%,Trinitario
Madagascar,Madagascar,75%,Trinitario
Chuao,Venezuela,75%,Trinitario
"Piura, Perou",Peru,75%, 
"Winak Coop, Napo",Ecuador,70%,Forastero (Nacional)
"La Dalia, Matagalpa",Nicaragua,70%,"Criollo, Trinitario"
Tien Giang,Vietnam,70%,Trinitario
"Makwale Village, Kyela",Tanzania,70%,Forastero
Momotombo,Nicaragua,60%, 
Acopagro,Peru,60%, 
CIAAB Coop,Bolivia,60%, 
Villa Andina,Peru,60%, 
Gruppo Salinas,Ecuador,60%, 
Sur del Lago,Venezuela,60%, 
Conacado,Dominican Republic,60%,Trinitario
Bolivia,Bolivia,80%, 
Bolivia,Bolivia,60%, 
Peru,Peru,60%, 
Morobe,Papua New Guinea,70%, 
Dos Rios,Dominican Republic,70%, 
Guayas,Ecuador,70%, 
Chuao,Venezuela,70%,Trinitario
Montanya,Venezuela,70%, 
"Bali, Jembrana",Indonesia,70%, 
Madagascar,Madagascar,70%,Trinitario
Cuyagua,Venezuela,70%, 
