REF,Review-Date,Rating
1876,2016,3.75
1676,2015,2.75
1676,2015,3
1680,2015,3.5
1704,2015,3.5
1315,2014,2.75
1315,2014,3.5
1315,2014,3.5
1319,2014,3.75
1319,2014,4
1011,2013,2.75
1011,2013,3
1011,2013,3.25
1011,2013,3.75
1015,2013,2.75
1015,2013,3
1015,2013,3.25
1015,2013,4
1019,2013,3.25
1019,2013,3.5
1019,2013,4
797,2012,3.5
797,2012,3.75
1462,2015,3.75
1470,2015,3.75
705,2011,2.75
705,2011,3.25
705,2011,3.5
705,2011,3.5
370,2009,2.75
370,2009,3
316,2009,3
636,2011,3.75
502,2010,2.75
508,2010,2.75
1215,2014,2.75
1215,2014,2.75
1215,2014,3
1061,2013,2.5
1173,2013,2.5
1944,2017,3.5
1944,2017,3.5
1944,2017,3.5
1944,2017,3.5
1728,2016,2.75
1728,2016,3
1732,2016,2.5
1732,2016,2.5
1732,2016,2.75
1125,2013,2.5
1125,2013,3
1129,2013,3.25
1133,2013,3
1133,2013,3.25
725,2011,4
470,2010,3.75
470,2010,4
544,2010,3
363,2009,3
304,2008,2.75
129,2007,3.5
147,2007,3
175,2007,3.75
322,2009,3
327,2009,2.75
464,2009,2.75
464,2009,3
1145,2013,3.25
1145,2013,3.5
1494,2015,3
1494,2015,3.25
1498,2015,3.25
1498,2015,3.25
1498,2015,3.25
1498,2015,3.5
979,2012,3.75
111,2007,4
111,2007,4
111,2007,5
123,2007,3
123,2007,3
123,2007,3.5
123,2007,3.75
123,2007,4
129,2007,3.5
170,2007,3.5
40,2006,5
75,2006,4
1065,2013,3.25
572,2010,2.75
572,2010,3.75
572,2010,3.75
572,2010,4
1259,2014,3
1852,2016,3.5
1375,2014,3
1379,2014,2.5
1379,2014,2.75
1379,2014,3
1724,2016,3.5
1724,2016,3.75
1900,2016,3.5
1904,2016,3.25
1904,2016,3.25
1904,2016,3.5
1904,2016,3.75
1908,2016,3.5
1908,2016,4
1924,2016,4
1928,2016,3.75
1928,2016,3.25
1928,2016,3.25
1534,2015,3.5
1534,2015,3.5
1534,2015,3.75
1598,2015,3.5
1598,2015,3.75
1598,2015,4
1602,2015,2.75
1602,2015,3.25
1602,2015,3.5
1193,2013,3.25
947,2012,3.75
729,2011,4
745,2011,2.75
486,2010,1.75
531,2010,3.75
600,2010,3.25
600,2010,3.25
600,2010,3.5
355,2009,2.5
355,2009,2.75
363,2009,1.75
363,2009,3
363,2009,3
363,2009,3.25
300,2008,3.75
1181,2013,2.75
1780,2016,3.75
647,2011,3.75
661,2011,3.75
331,2009,3.75
141,2007,2.5
175,2007,3
1474,2015,3.25
1474,2015,3.5
995,2012,3
999,2012,2.5
999,2012,2.5
1454,2015,2.75
1454,2015,3.5
1554,2015,3.5
1295,2014,4
983,2012,3.25
983,2012,3.5
983,2012,3.75
955,2012,2.75
1840,2016,3.5
1868,2016,3.75
1880,2016,3.25
1948,2017,3
1948,2017,3.25
1784,2016,2.75
1784,2016,2.75
1784,2016,2.75
1788,2016,2.75
586,2010,2.75
586,2010,2.75
586,2010,2.75
586,2010,3.5
1800,2016,3.5
1804,2016,3.25
1864,2016,3.5
1768,2016,2.75
1768,2016,3
1768,2016,3.5
1141,2013,3.5
1141,2013,3.5
1141,2013,3.5
1141,2013,4
757,2011,4
773,2011,3.75
797,2012,2.75
636,2011,3
636,2011,3
636,2011,3.5
636,2011,4
508,2010,3.25
508,2010,3.25
508,2010,3.5
508,2010,3.5
1482,2015,2.5
1486,2015,2.5
1486,2015,2.5
1486,2015,3.25
963,2012,3.5
478,2010,3.25
502,2010,3.75
558,2010,2.75
565,2010,3
565,2010,3
414,2009,3
414,2009,3.5
423,2009,3.25
431,2009,3.5
233,2008,3
233,2008,3.5
233,2008,3.75
256,2008,3
256,2008,2.75
256,2008,2.75
256,2008,3
1331,2014,2.75
1046,2013,3.5
322,2009,2.75
1740,2016,3.5
1752,2016,2.75
1752,2016,3.5
1756,2016,3
911,2012,3.5
911,2012,3.75
1912,2016,3.5
1339,2014,4
1418,2014,3.25
1418,2014,3.75
1038,2013,3.5
1042,2013,3.25
629,2011,3.5
629,2011,3.5
629,2011,3.5
629,2011,3.75
629,2011,4
629,2011,4
672,2011,3.5
761,2011,3.25
331,2009,3
336,2009,2.75
336,2009,3
395,2009,3
199,2008,4
123,2007,2.5
24,2006,3.75
32,2006,4
48,2006,4
75,2006,4
81,2006,1.5
81,2006,3
81,2006,4
316,2009,3.25
341,2009,1.5
1267,2014,2.75
1271,2014,2.75
1868,2016,3.5
1868,2016,3.75
1462,2015,3.75
1255,2014,3.75
1355,2014,4
1125,2013,3
1125,2013,3.25
1129,2013,3.5
1129,2013,3.5
1514,2015,3
1514,2015,3.25
1514,2015,3.5
1518,2015,2.75
1518,2015,3.25
1518,2015,3.25
1149,2013,3
1231,2014,3
1231,2014,3.5
1231,2014,3.5
1235,2014,2.75
1638,2015,3.25
1181,2013,2.75
1299,2014,3.25
1299,2014,3.5
1303,2014,3.25
1303,2014,3.25
1323,2014,2.5
1606,2015,2.5
1215,2014,2.5
502,2010,2.5
502,2010,2.75
600,2010,2.25
1716,2016,3.5
586,2010,3
300,2008,2
141,2007,2
147,2007,3
1688,2015,3.5
1692,2015,3.25
1391,2014,2.5
1391,2014,3.25
1391,2014,3.5
1395,2014,3.75
1668,2015,3.25
1816,2016,3.75
1816,2016,3.75
1662,2015,3.75
1430,2014,3.5
1430,2014,3.5
1434,2014,2.75
1434,2014,3.25
1860,2016,3.5
991,2012,3.75
641,2011,3
641,2011,3.75
647,2011,3.25
1908,2016,3.5
508,2010,3.5
523,2010,3.75
523,2010,4
537,2010,3.25
537,2010,3.5
537,2010,3.5
336,2009,4
346,2009,4
1684,2015,3
1684,2015,3.25
1684,2015,3.5
1173,2013,3.25
237,2008,3.5
237,2008,3.5
245,2008,2.5
259,2008,1.5
296,2008,2.75
141,2007,1
1442,2014,2.5
1442,2014,3
1442,2014,3.5
1185,2013,3.5
809,2012,3
749,2011,2.25
765,2011,2.5
1804,2016,2.5
1804,2016,2.75
1804,2016,3
1808,2016,3
1808,2016,3.25
237,2008,2
237,2008,2.5
245,2008,2.75
266,2008,3
269,2008,3.25
269,2008,3.5
1263,2014,3.5
1263,2014,3.75
1582,2015,3.5
1586,2015,3.25
1586,2015,3.5
841,2012,3
845,2012,2.75
1884,2016,3
1888,2016,3.25
1888,2016,3.25
1888,2016,3.5
1888,2016,3.5
1724,2016,4
1570,2015,3.5
1570,2015,3.75
1574,2015,3.5
1347,2014,3.5
1371,2014,3.5
1407,2014,2.75
1101,2013,3
1101,2013,3.5
1105,2013,2.5
1105,2013,3.25
1109,2013,3.25
1153,2013,2.75
1153,2013,3
1247,2014,2.5
1247,2014,2.75
1251,2014,2.75
1251,2014,3
404,2009,2.75
1426,2014,2.75
1900,2016,3.25
486,2010,2.75
252,2008,3
1235,2014,3.5
672,2011,3.5
1454,2015,3.25
1407,2014,3
1407,2014,3.25
1696,2015,2.75
1696,2015,3.5
1482,2015,2.5
1482,2015,2.75
1514,2015,2.5
647,2011,3.75
647,2011,3.75
1772,2016,2.5
1772,2016,2.5
1760,2016,2.5
1760,2016,2.75
1764,2016,3
1764,2016,3
1764,2016,3
1764,2016,3.25
1768,2016,2.75
1259,2014,2.75
1530,2015,3.25
1530,2015,3.5
1530,2015,3.75
1582,2015,3.75
1582,2015,3.75
1121,2013,3.75
919,2012,2.5
919,2012,2.75
919,2012,3.25
1219,2014,2.5
1454,2015,3
682,2011,3.25
478,2010,3.25
478,2010,3.5
439,2009,3.25
439,2009,3.25
209,2008,3.5
117,2007,2.5
117,2007,2.5
117,2007,3
1522,2015,2.5
1522,2015,2.5
377,2009,2.5
377,2009,2.75
377,2009,3
377,2009,3
377,2009,3
1149,2013,2.75
1832,2016,3.25
666,2011,3.75
445,2009,3
486,2010,2.75
470,2010,3.75
209,2008,3
227,2008,4
252,2008,1
1486,2015,3.5
1646,2015,3
579,2010,3.25
292,2008,2.75
292,2008,3.25
292,2008,3.75
296,2008,2.75
1630,2015,3.5
1916,2016,2.75
1169,2013,3.25
813,2012,3.5
817,2012,1.5
821,2012,3.75
959,2012,3.5
470,2010,3.25
478,2010,3
558,2010,2.5
558,2010,3
558,2010,3.25
558,2010,3.25
341,2009,3
445,2009,3.25
451,2009,3.5
451,2009,3.75
220,2008,3
220,2008,3
196,2007,3
48,2006,1
1283,2014,2.5
1335,2014,2.75
971,2012,3.25
975,2012,3.25
975,2012,3.25
975,2012,3.25
975,2012,3.5
1736,2016,3.25
1736,2016,3.75
1654,2015,2.75
785,2011,3.25
1928,2017,2.75
1610,2015,3
1610,2015,3.5
1666,2015,2.25
1666,2015,2.75
1816,2016,3.75
1446,2015,3
1219,2014,3.5
1295,2014,3.5
1303,2014,2.75
1387,2014,3.75
1026,2013,2.75
1026,2013,3.25
1085,2013,3.5
1153,2013,3.5
805,2012,3
805,2012,3.25
915,2012,3.75
654,2011,3.25
654,2011,3.25
654,2011,3.25
1223,2014,3.25
987,2012,3
987,2012,3.75
987,2012,3.75
987,2012,4
991,2012,3.25
661,2011,3.5
423,2009,3
423,2009,3.25
1920,2016,2.75
1920,2016,3
1920,2016,3.25
1708,2016,3.25
1550,2015,3
1550,2015,3.25
1554,2015,3
1554,2015,3.25
1093,2013,2.5
1093,2013,2.75
1093,2013,2.75
907,2012,3.25
1462,2015,3.5
1462,2015,3.5
1832,2016,2.5
1832,2016,3
170,2007,2.5
175,2007,3
175,2007,3
175,2007,3
180,2007,3
180,2007,3
423,2009,3
263,2008,3.75
1916,2016,2.5
241,2008,2.75
166,2007,3.5
166,2007,3.5
1952,2017,3.75
1864,2016,3.5
1634,2015,3.75
1235,2014,3.5
1034,2013,3.25
1193,2013,3.5
895,2012,2.75
955,2012,2.75
661,2011,2.75
661,2011,3
682,2011,2.75
769,2011,3
769,2011,3.25
1688,2015,3
1371,2014,3.25
1371,2014,3.25
1407,2014,3.5
311,2009,3.75
304,2008,3
63,2006,1.5
1672,2015,3.75
1672,2015,3.75
1109,2013,3
863,2012,3.5
863,2012,3.75
693,2011,3.5
470,2010,3
227,2008,3
272,2008,3
272,2008,3.5
272,2008,3.75
111,2007,4
129,2007,3.25
135,2007,3.25
135,2007,3.5
192,2007,3.5
192,2007,3.75
192,2007,4
192,2007,4
87,2006,3
87,2006,3.25
87,2006,3.5
1880,2016,2.75
1672,2015,2.5
1676,2015,2.75
1676,2015,2.75
1662,2015,4
1331,2014,3.5
1331,2014,3.75
923,2012,3.75
623,2011,3.75
661,2011,3.5
697,2011,3
697,2011,3.25
765,2011,3.5
516,2010,3.5
516,2010,3.75
523,2010,2.5
523,2010,3.75
1506,2015,3.25
841,2012,2.75
1626,2015,3.5
1626,2015,3.5
1630,2015,3.25
1630,2015,3.25
1630,2015,4
1343,2014,3.25
1343,2014,3.5
1343,2014,3.75
1812,2016,3.25
1812,2016,3.25
919,2012,2.75
1876,2016,3
709,2011,3.75
252,2008,2.75
1662,2015,3.75
439,2009,2.75
439,2009,3
206,2008,2.5
206,2008,2.5
206,2008,3
32,2006,2.75
1137,2013,2.75
1137,2013,3.25
1450,2015,3
1454,2015,3.5
1916,2016,3.25
565,2010,3.25
1205,2014,3.25
1209,2014,3
1209,2014,3.25
903,2012,2.75
414,2009,2
423,2009,3.5
431,2009,2.75
252,2008,3
666,2011,2.5
666,2011,2.5
666,2011,2.5
666,2011,2.75
672,2011,2.5
1275,2014,3
1275,2014,3.5
1275,2014,3.75
565,2010,2.75
1732,2016,3
1736,2016,2.5
1736,2016,2.75
494,2010,3.5
105,2006,2
105,2006,3
48,2006,3
48,2006,3
48,2006,3.5
56,2006,4
1283,2014,2.25
1283,2014,3
1283,2014,3.25
1287,2014,2.5
1267,2014,2.75
1776,2016,2.75
1776,2016,2.75
1772,2016,2.75
1776,2016,3.5
1776,2016,3.75
1355,2014,3.5
1355,2014,3.75
911,2012,3.75
915,2012,3.5
1538,2015,3.5
1538,2015,3.5
1542,2015,3
1351,2014,3.5
1351,2014,3.5
1940,2017,3.5
1634,2015,3.5
1209,2014,3
1295,2014,3.25
1042,2013,3.5
883,2012,2.5
883,2012,3.5
887,2012,2
781,2011,3.5
785,2011,3.5
1383,2014,3
1383,2014,3.5
1383,2014,3.5
1387,2014,3.5
1030,2013,3.25
1081,2013,3.75
1117,2013,3.75
1149,2013,4
899,2012,3.5
899,2012,3.5
915,2012,4
927,2012,4
931,2012,3
636,2011,2.75
642,2011,3.25
642,2011,3.5
642,2011,3.5
682,2011,2.75
682,2011,3.25
688,2011,3
745,2011,3.25
745,2011,4
370,2009,2.75
370,2009,3
370,2009,3.25
370,2009,3.5
1912,2016,3.5
1680,2015,3
1680,2015,3.25
1259,2014,3.5
1034,2013,3.25
1034,2013,3.5
895,2012,3.25
899,2012,3.25
899,2012,3.25
923,2012,3.75
623,2011,3.25
623,2011,3.5
623,2011,3.5
1780,2016,3.75
1780,2016,4
1347,2014,3.75
1359,2014,3
1046,2013,3.75
1185,2013,3
863,2012,2.5
753,2011,3.25
781,2011,3
1367,2014,2.5
1642,2015,3.25
1642,2015,4
1646,2015,3.5
1646,2015,3.5
1646,2015,3.5
1848,2016,3.5
1672,2015,3
1924,2016,2.75
1924,2016,3.25
1924,2016,3.25
741,2011,3
15,2006,2.5
1896,2016,3.5
494,2010,3.25
363,2009,2.75
241,2008,2.5
355,2009,3
355,2009,3
355,2009,3
355,2009,3
355,2009,3.25
1602,2015,3.75
1053,2013,2.75
1053,2013,2.75
1053,2013,3.25
1053,2013,3.5
654,2011,2.75
654,2011,3.25
654,2011,3.25
552,2010,3
316,2009,3
387,2009,3
387,2009,3.5
259,2008,3
276,2008,3
276,2008,3.5
147,2007,3.5
15,2006,3
87,2006,2.5
87,2006,3.5
93,2006,3.5
93,2006,3.5
99,2006,3
1197,2014,2.75
1197,2014,2.75
1197,2014,3.25
1197,2014,3.5
1201,2014,2.75
1201,2014,3
1201,2014,3
1201,2014,3.25
1205,2014,2
166,2007,2.5
1327,2014,2.75
1327,2014,3
701,2011,3
1808,2016,3.25
1696,2015,3
1700,2015,3.5
1700,2015,3.5
1876,2016,2.75
1748,2016,3.25
1748,2016,3.5
1239,2014,3.5
1243,2014,3
1243,2014,3.75
1243,2014,3.75
1744,2016,3.5
1744,2016,3.5
1748,2016,3.5
1744,2016,3.75
1744,2016,4
1458,2015,2.75
1462,2015,3.5
1546,2015,2.75
1546,2015,3
1546,2015,3
1550,2015,3.25
1550,2015,3.25
1712,2016,2.75
1712,2016,2.75
1712,2016,3.25
1712,2016,3.5
414,2009,2
414,2009,2.5
414,2009,3
414,2009,3.25
414,2009,3.5
1872,2016,2.75
1466,2015,3.5
1466,2015,3.5
1466,2015,3.5
1466,2015,3.5
431,2009,2.5
431,2009,2.75
431,2009,3.5
431,2009,3.75
1327,2014,2.5
1654,2015,2.75
1030,2013,4
1113,2013,1.75
1038,2013,3
1038,2013,3.5
1065,2013,3
1065,2013,3
1065,2013,3.5
1109,2013,2.75
1113,2013,2.5
1113,2013,2.75
809,2012,3.5
623,2011,3
623,2011,3
623,2011,3.25
552,2010,2.75
552,2010,3
600,2010,2.75
245,2008,3
296,2008,2.5
296,2008,2.75
300,2008,3
